audit_class,message_id,event_class,new_in_release,log_message
Dialog Logon,AU1,Severe,,"Logon successful (type=&A, method=&C)"
Dialog Logon,AU2,Critical,,"Logon failed (reason=&B, type=&A, method=&C)"
Dialog Logon,AUC,Non-Critical,,User Logoff
Dialog Logon,AUM,Critical with Monitor Alert,,User &B Locked in Client &A After Erroneous Password Checks
Dialog Logon,AUN,Critical,,User &B in Client &A Unlocked After Being Locked Due to Inval.Password Entered
Dialog Logon,AUO,Severe,,"Logon Failed (Reason = &B, Type = &A)"
Dialog Logon,BUD,Critical,,"WS: Delayed logon failed (type &B, WP &C). Refer to Web service log &A."
Dialog Logon,BUE,Non-Critical,,"WS: Delayed logon successful (type &B, WP &C). Refer to Web service log &A."
Dialog Logon,BUI,Critical,,SPNego replay attack detected (UPN=&A)
Dialog Logon,BUK,Non-Critical,,&A assertion used
Dialog Logon,BUL,Non-Critical,,&A: &B
Dialog Logon,BUM,Non-Critical,,Name ID of a subject
Dialog Logon,BUN,Non-Critical,,Attribute
Dialog Logon,BUO,Non-Critical,,Authentication assertion
Dialog Logon,BUP,Non-Critical,,&A
Dialog Logon,BUQ,Non-Critical,,Signed LogoutRequest accepted
Dialog Logon,BUR,Non-Critical,,Unsigned LogoutRequest accepted
Dialog Logon,CU2,Severe,740,OAuth 2.0: Invalid access token received (reason=&A)
Dialog Logon,CU3,Severe,740,OAuth 2.0: Insufficient OAuth 2.0 scope for requested resource (user=&A)
Dialog Logon,CU4,Critical,740,OAuth 2.0: Logged-on client user &A not same as parameter client ID &B
Dialog Logon,CU5,Severe,740,OAuth 2.0: Client &A requested invalid access grant type &B
Dialog Logon,CU6,Critical,740,OAuth 2.0: Client ID &A in SAML assertion not same as client ID &B in request
Dialog Logon,CU7,Severe,740,"OAuth 2.0: Scope &B not permitted for client &C, user &D (cause=&A)"
Dialog Logon,CU8,Non-Critical,740,"OAuth 2.0: Access token issued (client=&A, user=&B, grant type=&C)"
Dialog Logon,CU9,Non-Critical,740,OAuth 2.0: Valid access token received for user &A
Dialog Logon,CUA,Severe,,Rejected Assertion
Dialog Logon,CUB,Severe,,&A: &B
Dialog Logon,CUC,Severe,,&A
Dialog Logon,CUD,Severe,,Name ID of a subject
Dialog Logon,CUE,Severe,,Attribute
Dialog Logon,CUF,Severe,,Authentication Assertion
Dialog Logon,CUG,Severe,,Signed LogoutRequest rejected
Dialog Logon,CUH,Severe,,Unsigned LogoutRequest rejected
Dialog Logon,DU0,Critical with Monitor Alert,,Invalid SAP GUI data
Dialog Logon,EUC,Critical,new,OAuth scope &A not assigned to the user
Dialog Logon,EUC,Critical,new,HTTP request not received from trustworthy cloud connector (reason &A)
RFC Logon,AU5,Non-Critical,,"RFC/CPIC logon successful (type=&A, method=&C)"
RFC Logon,AU6,Critical,,"RFC/CPIC logon failed, reason=&B, type=&A, method=&C"
RFC Function Call,AUK,Non-Critical,,Successful RFC Call &C (Function Group = &A)
RFC Function Call,AUL,Critical,,Failed RFC Call &C (Function Group = &A)
RFC Function Call,CUV,Non-Critical,,"Successful WS Call (service = &A, operation &B)"
RFC Function Call,CUW,Critical,,"Failed Web service call (service = &A, operation = &B, reason = &C)"
RFC Function Call,CUZ,Critical,,Generic table access by RFC to &A with activity &B
RFC Function Call,DU1,Severe,,FTP server whitelist is empty
RFC Function Call,DU2,Severe,,FTP server whitelist is non-secure due to use of placeholders
RFC Function Call,DU3,Critical,,Server &A is not contained in the whitelist
RFC Function Call,DU4,Critical,,Connection to server &A failed
RFC Function Call,DU5,Critical,,There is no logical file name for path &A
RFC Function Call,DU6,Non-Critical,,Validation for &A successful
RFC Function Call,DU7,Critical with Monitor Alert,,Validation for &A failed
RFC Function Call,DU8,Non-Critical,,FTP connection request for server &A successful
RFC Function Call,DUI,Non-Critical, Note 2128095,"RFC callback performed (destination &A, called &B, callback &C)"
RFC Function Call,DUJ,Critical, Note 2128095,"RFC callback rejected (destination &A, called &B, callback &C)"
RFC Function Call,DUK,Critical, Note 2128095,"RFC callback in simulation mode (destination &A, called &B, callback &C)"
RFC Function Call,DUR,Non-Critical,,JSON RPC call of function module &A succeeded
RFC Function Call,DUS,Non-Critical,,JSON RPC call of function module &A failed
RFC Function Call,DUT,Critical,,Critical JSON RPC call of function module &A (S_RFC * authorization)
RFC Function Call,EUE,Non-Critical,new,RFC function module &A called successfully
RFC Function Call,EUF,Non-Critical,new,Could not call RFC function module &A
RFC Function Call,EUG,Non-Critical,new,User does not have authorization to run RFC function module &A
RFC Function Call,EUI,Severe,740,Setup of UCON HTTP whitelist changed
RFC Function Call,EUJ,Severe,740,Phase of UCON HTTP whitelist of context type &A changed
RFC Function Call,EUK,Critical,740,Access to UCON HTTP whitelist of context type &A was refused
RFC Function Call,EUL,Severe,740,Setting of content security policy whitelist for type &A changed
RFC Function Call,EUM,Severe,740,Content security policy whitelist of context type &A changed
RFC Function Call,EUN,Critical,740,Content security policy of CSP type &A violated
RFC Function Call,EUO,Severe,740,UCON HTTP whitelist of context type &A was changed
RFC Function Call,FU1,Non-Critical,740,RFC function &B with dynamic destination &C was called in program &A
Transaction Start,AU3,Non-Critical,,Transaction &A Started
Transaction Start,AU4,Critical,,Start of transaction &A failed (Reason=&B)
Transaction Start,AUP,Severe,,Transaction &A Locked
Transaction Start,AUQ,Severe,,Transaction &A Unlocked
Transaction Start,BUX,Severe,740,Test message
Transaction Start,CUI,Non-Critical,740,Application &A started
Transaction Start,CUJ,Critical,740,Failed to start application &A (reason =&B)
